,total_win_pct,total_win
2000,79.1139442231,12411
2001,79.9744612929,12526
2002,79.1585657371,12418
2003,78.7159716758,12506
2004,80.037944664,12656
2005,78.5264773599,12790
2006,78.9007633588,12920
2007,79.6319018405,12980
2008,81.0320610687,13269
2009,80.2320610687,13138
2010,80.3739463602,13111
2011,79.5099540582,12980
2012,80.7615457116,10711
2013,80.7233716475,13168
2014,80.1704718417,13168
2015,80.6436781609,13155
2016,80.9595110772,13247
2017,81.2024539877,13236
