,games,pct_of_games,pct_of_ties,stat,win_pct
0,1206,46.07,0.0787,fg,0.8134
1,1248,47.67,0.0466,fga,0.4671
2,1299,49.62,0.0076,fg_pct,0.8152
3,1208,46.14,0.0772,fg3,0.6399
4,1291,49.31,0.0138,fg3_pct,0.6964
5,1207,46.1,0.0779,orb,0.4905
6,1246,47.59,0.0481,drb,0.7488
7,1256,47.98,0.0405,trb,0.6656
8,1222,46.68,0.0665,ast,0.716
9,1189,45.42,0.0917,stl,0.5803
10,1165,44.5,0.11,blk,0.6412
11,1207,46.1,0.0779,tov,0.5824
12,1305,49.85,0.0031,ts_pct,0.8444
13,1301,49.69,0.0061,efg_pct,0.8117
14,1303,49.77,0.0046,fg3a_per_fga_pct,0.5219
15,1307,49.92,0.0015,fta_per_fga_pct,0.5647
